id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,cur_genus,cur_epithet,cur_scientific_name,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,host,cur_host,host_family,cultivated,native_status,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatUnited States of America,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,Continent,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,climatic_zone,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatUnited States of America,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
8244912,BPI,,,PreservedSpecimen,,BPI 910618,,Basidiophora delawarensis,,,Basidiophora,delawarensis,Basidiophora,delawarensis,Basidiophora delawarensis,,,"Wallace, Emma; Crouch, JoAnne",,,,,,Holotype,E Wallace; J A Crouch,,,,6/23/17,2017,6,23,174,,2017 Jun 23,Collected by undisclosed-botanical garden and employee wish to remain confidential. Sent to USDA by nancy Gregory from UD Plant Diagnostic Clinic.,,leaves,Solidago sphacelata,Solidago sphacelata,Asteraceae,,,,,,,,,,,,,,,,,waiting on GenBank accession numbers,North America,United States of America,Delaware,New Castle,,del Found at non-profit botanical garden and sent to University of Delaware Plant Diagnostic Clinic.,,0,,39.66204,-75.566817,,1566,,,dlambrecht (2020-10-01 09:55:49),,georef batch tool 2020-10-01; GeoLocate,reviewed - high confidence,,,,,,,,,,jdhallUMD,9/3/19 13:34,BPI 910618,24,urn:uuid:43ba1fc8-83e7-43ab-9d75-ae5754935473,https://mycoportal.org:443/portal/collections/individual/index.php?occid=8244912
1037751,BPI,,,PreservedSpecimen,,BPI 187640,,Peronospora entospora,647110,(Roze & Cornu) Berk. & Broome,Peronospora,entospora,Basidiophora,entospora,Basidiophora entospora,,,,,,,,,,A B Seymour,,,5022,1882-04-19,1882,4,19,109,,1882 Apr 19,,,,Erigeron canadensis,Erigeron canadensis,Asteraceae,,,,,,,,,,,,,,,,,,North America,United States of America,Illinois,,,Anna,,0,,37.460327,-89.247028,,2930,,,GeoLocate (High Precision),,,,,,,,,,,,,preprocessed,9/3/19 13:34,BPI 187640,24,urn:uuid:8ed88f16-1c6f-44aa-8e51-c0699b9fe717,https://mycoportal.org:443/portal/collections/individual/index.php?occid=1037751
1037754,BPI,,,PreservedSpecimen,,BPI 187643,,Peronospora entospora,647110,(Roze & Cornu) Berk. & Broome,Peronospora,entospora,Basidiophora,entospora,Basidiophora entospora,,,"Edson, H. A.",,,,,,,A B Seymour; F S Earle,,,5022,1882-04-29,1882,4,29,119,,1882 Apr 29,,,,Erigeron canadensis,Erigeron canadensis,Asteraceae,,,,,,,,,,,,,,,,,,North America,United States of America,Illinois,,,Anna,,0,,37.460327,-89.247028,,2930,,,GeoLocate (High Precision),,,,,,,,,,,,,preprocessed,9/3/19 13:34,BPI 187643,24,urn:uuid:7246d61e-112e-4c21-b1ad-740c5c353cd3,https://mycoportal.org:443/portal/collections/individual/index.php?occid=1037754
2756509,NCU,,,PreservedSpecimen,3e1a74ce-a55e-4566-9b65-eb7aea0c610a,NCU-F-0018777,,Peronospora entospora,647110,(Roze & Cornu) Berk. & Broome,Peronospora,entospora,Basidiophora,entospora,Basidiophora entospora,,,A B Seymour,1882,,,,,,A B Seymour,,,4719,1882-05-20,1882,5,20,140,,May 20. 1882.,,,,Solidago rigida,Solidago rigida,Asteraceae,,,,,,,,,,,,,,,,,,North America,United States of America,Illinois,Mclean,,Normal,,,,40.514203,-88.990631,,6559,,,carol ann mccormick (2016-02-15 07:34:46),,georef batch tool 2016-02-15; GeoLocate,reviewed - high confidence,#NAME?,,,,,,,,,yoonsoyoung,2/1/17 11:52,,14,urn:uuid:3e1a74ce-a55e-4566-9b65-eb7aea0c610a,https://mycoportal.org:443/portal/collections/individual/index.php?occid=2756509
2756519,NCU,,,PreservedSpecimen,f4120435-7c1a-4130-8340-74a511bcd2bc,NCU-F-0018784,,Peronospora entospora,647110,(Roze & Cornu) Berk. & Broome,Peronospora,entospora,Basidiophora,entospora,Basidiophora entospora,,,A B Seymour,1882,,,,,,A B Seymour,,,4719,1882-05-20,1882,5,20,140,,"May 20, 1882.",,,,Solidago rigida,Solidago rigida,Asteraceae,,,,,,,,,,,,,,,,,,North America,United States of America,Illinois,Mclean,,Normal,,,,40.514203,-88.990631,,6559,,,carol ann mccormick (2016-02-15 07:34:46),,georef batch tool 2016-02-15; GeoLocate,reviewed - high confidence,#NAME?,,,,,,,,,yoonsoyoung,2/1/17 11:52,,14,urn:uuid:f4120435-7c1a-4130-8340-74a511bcd2bc,https://mycoportal.org:443/portal/collections/individual/index.php?occid=2756519
2756528,NCU,,,PreservedSpecimen,21117716-145f-4b1a-ac84-b9478061510a,NCU-F-0018788,,Peronospora entospora,647110,(Roze & Cornu) Berk. & Broome,Peronospora,entospora,Basidiophora,entospora,Basidiophora entospora,,,A B Seymour,1882,,,,,,A B Seymour,,,4746,1882-05-23,1882,5,23,143,,"May 23, 1882",,,,Erigeron canadensis,Erigeron canadensis,Asteraceae,,,oospores,,,,,,,,,,,,,,,North America,United States of America,Illinois,Mclean,,Normal,,,,40.514203,-88.990631,,6559,,,carol ann mccormick (2016-02-15 07:34:46),,georef batch tool 2016-02-15; GeoLocate,reviewed - high confidence,#NAME?,,,,,,,,,yoonsoyoung,2/1/17 11:52,,14,urn:uuid:21117716-145f-4b1a-ac84-b9478061510a,https://mycoportal.org:443/portal/collections/individual/index.php?occid=2756528
2756508,NCU,,,PreservedSpecimen,a0107f9c-6625-4613-8fa8-fc7fe0a5cad7,NCU-F-0018776,,Peronospora entospora,647110,(Roze & Cornu) Berk. & Broome,Peronospora,entospora,Basidiophora,entospora,Basidiophora entospora,,,A B Seymour,1882,,,,,,A B Seymour,,,4856,1882-05-31,1882,5,31,151,,"May. 31, 1882",ILLINOIS FUNGI,,,Solidago rigida,Solidago rigida,Asteraceae,,,,,,,,,,,,,,,,,,North America,United States of America,Illinois,Mclean,,Normal,,,,40.514203,-88.990631,,6559,,,carol ann mccormick (2016-02-15 07:34:46),,georef batch tool 2016-02-15; GeoLocate,reviewed - high confidence,#NAME?,,,,,,,,,yoonsoyoung,2/1/17 11:52,,14,urn:uuid:a0107f9c-6625-4613-8fa8-fc7fe0a5cad7,https://mycoportal.org:443/portal/collections/individual/index.php?occid=2756508
2643980,ILL,,,PreservedSpecimen,49c37d49-16a9-486d-bc57-b8c09fdc3035,ILL00097013,2209,Plasmopara entospora,649732,(Roze & Cornu) J. Schr_t.,Plasmopara,entospora,Basidiophora,entospora,Basidiophora entospora,,,,,,,,,,A B Seymour,,,4940,1882-06-09,1882,6,9,160,,,,,on Solidago rigida,Solidago rigida,Solidago rigida,Asteraceae,,,,,,,,,,,,,,,,,,North America,United States of America,Illinois,Champaign,Champaign,Champaign,,,,40.11642,-88.243383,WGS84,7338,,,titurri (2016-07-09 14:37:57),,georef batch tool 2016-07-09; GeoLocate,reviewed - high confidence,,,,,,,,,en,akuhn,2/1/17 11:51,,31,urn:uuid:49c37d49-16a9-486d-bc57-b8c09fdc3035,https://mycoportal.org:443/portal/collections/individual/index.php?occid=2643980
2748220,NCU,,,PreservedSpecimen,4ad7ed98-c2de-48ff-b941-fbc646bfa77d,NCU-F-0018775,,Peronospora entospora,647110,(Roze & Cornu) Berk. & Broome,Peronospora,entospora,Basidiophora,entospora,Basidiophora entospora,,,A B Seymour,1882,,,,,,A B Seymour,,,4940,1882-06-09,1882,6,9,160,,,,,,Solidago rigida,Solidago rigida,Asteraceae,,,,,,,,,,,,,,,,,,North America,United States of America,Illinois,Champaign,,Champaign,,,,40.11642,-88.243383,WGS84,7338,,,"McCormick, Carol Ann",,GeoLocate,,#NAME?,,,,,,,,,dayanisn,2/1/17 11:52,,14,urn:uuid:4ad7ed98-c2de-48ff-b941-fbc646bfa77d,https://mycoportal.org:443/portal/collections/individual/index.php?occid=2748220
2643963,ILL,,,PreservedSpecimen,7d352f02-72df-457e-bf81-74abd31c4a23,ILL00097001,2916,Plasmopara entospora,649732,(Roze & Cornu) J. Schr_t.,Plasmopara,entospora,Basidiophora,entospora,Basidiophora entospora,,,HA Edson,,,,,,,A B Seymour,,,4971,1882-06-10,1882,6,10,161,,,,,on Solidago rigida,Solidago rigida,Solidago rigida,Asteraceae,,,,,,,,,,,,,,,,,,North America,United States of America,Illinois,Champaign,Leverett,Leverett,,,,40.189199,-88.20977,WGS84,3036,,,titurri (2016-07-12 15:30:42),,georef batch tool 2016-07-12; GeoLocate,reviewed - high confidence,,,,,,,,,en,akuhn,2/1/17 11:51,,31,urn:uuid:7d352f02-72df-457e-bf81-74abd31c4a23,https://mycoportal.org:443/portal/collections/individual/index.php?occid=2643963
